,created_on,property_type,place_name,state_name,lat,lon,price,currency,price_aprox_usd,surface_total_in_m2,rooms,expenses,properati_url
58021,2014-04-18,PH,Escobar,|Argentina|Bs.As. G.B.A. Zona Norte|Escobar|,-34.384494000000004,-58.746343,85000.0,USD,85000.0,60.0,2.0,,http://www.properati.com.ar/extq_venta_ph_escobar
58022,2014-04-18,house,Capital Federal,|Argentina|Capital Federal|,-34.570347999999996,-58.722653,69000.0,USD,69000.0,100.0,3.0,,http://www.properati.com.ar/exts_venta_casa_capital-federal
58023,2014-04-18,house,Capital Federal,|Argentina|Capital Federal|,-34.570878,-58.72241700000001,66000.0,USD,66000.0,110.0,4.0,,http://www.properati.com.ar/extt_venta_casa_capital-federal
58024,2014-04-18,apartment,Capital Federal,|Argentina|Capital Federal|,-34.552226,-58.462084,85000.0,USD,85000.0,47.0,2.0,,http://www.properati.com.ar/exty_venta_departamento_capital-federal
58025,2014-04-18,apartment,Capital Federal,|Argentina|Capital Federal|,-34.600716,-58.40708000000001,107900.0,USD,107900.0,60.0,2.0,,http://www.properati.com.ar/exu1_venta_departamento_capital-federal_viamonte_2932
58026,2014-04-18,house,Santa Fe,|Argentina|Santa Fe|Santa Fe|,-31.635945,-60.707655,,,,,4.0,,http://www.properati.com.ar/exu3_venta_casa_santa-fe
58027,2014-04-18,house,Santa Fe,|Argentina|Santa Fe|Santa Fe|,-31.629657,-60.71025,,,,,2.0,,http://www.properati.com.ar/exu4_venta_casa_santa-fe
58028,2014-04-18,apartment,Santa Fe,|Argentina|Santa Fe|Santa Fe|,-32.951099,-60.677401,,,,,2.0,,http://www.properati.com.ar/exu5_venta_departamento_santa-fe
58029,2014-04-18,apartment,Santa Fe,|Argentina|Santa Fe|Santa Fe|,-32.947948,-60.672702,,,,,1.0,,http://www.properati.com.ar/exu6_venta_departamento_santa-fe
58030,2014-04-18,apartment,Córdoba,|Argentina|Córdoba|Córdoba|,-31.421729,-64.153712,295000.0,ARS,36860.25,43.0,1.0,,http://www.properati.com.ar/exu7_venta_departamento_cordoba
58031,2014-04-18,house,Córdoba,|Argentina|Córdoba|Córdoba|,-31.412833000000003,-64.152516,1500000.0,ARS,187425.02,400.0,5.0,,http://www.properati.com.ar/exu8_venta_casa_cordoba
58032,2014-04-18,house,Capital Federal,|Argentina|Capital Federal|,-34.632537,-58.457682999999996,398000.0,USD,398000.0,20.0,4.0,,http://www.properati.com.ar/exuc_venta_casa_capital-federal
58033,2014-04-18,house,Santa Fe,|Argentina|Santa Fe|Santa Fe|,,,,,,,2.0,,http://www.properati.com.ar/exud_venta_casa_santa-fe
58034,2014-04-18,house,Santa Fe,|Argentina|Santa Fe|Santa Fe|,,,,,,,4.0,,http://www.properati.com.ar/exuf_venta_casa_santa-fe
58035,2014-04-18,house,Neuquén,|Argentina|Neuquén|Neuquén|,-38.819515,-68.146498,,,,,2.0,,http://www.properati.com.ar/exuj_venta_casa_neuquen
58036,2014-04-18,house,General Roca,|Argentina|Río Negro|General Roca|,-38.82868,-68.068381,,,,,5.0,,http://www.properati.com.ar/exuk_venta_casa_general-roca
58037,2014-04-18,apartment,Capital Federal,|Argentina|Capital Federal|,-34.557086,-58.460285999999996,149000.0,USD,149000.0,81.0,2.0,,http://www.properati.com.ar/exun_venta_departamento_capital-federal
58038,2014-04-18,apartment,Capital Federal,|Argentina|Capital Federal|,-34.616861,-58.449672,1256813.0,ARS,157038.8,76.0,2.0,,http://www.properati.com.ar/exuo_venta_departamento_capital-federal
58039,2014-04-18,apartment,Capital Federal,|Argentina|Capital Federal|,-34.592546,-58.407989,199000.0,USD,199000.0,86.0,2.0,,http://www.properati.com.ar/exup_venta_departamento_capital-federal_aguero_1501
58040,2014-04-18,apartment,Capital Federal,|Argentina|Capital Federal|,-34.59223,-58.445581000000004,65000.0,USD,65000.0,33.0,1.0,,http://www.properati.com.ar/exut_venta_departamento_capital-federal
58041,2014-04-18,apartment,Capital Federal,|Argentina|Capital Federal|,-34.580223,-58.484255000000005,108000.0,USD,108000.0,56.0,1.0,,http://www.properati.com.ar/exuu_venta_departamento_capital-federal
58042,2014-04-18,apartment,Capital Federal,|Argentina|Capital Federal|,-34.553885,-58.462312,205000.0,USD,205000.0,90.0,3.0,,http://www.properati.com.ar/exuz_venta_departamento_capital-federal
58043,2014-04-18,house,Avellaneda,|Argentina|Bs.As. G.B.A. Zona Sur|Avellaneda|,,,136000.0,USD,136000.0,273.0,3.0,,http://www.properati.com.ar/exv0_venta_casa_avellaneda
58044,2014-04-18,house,Capital Federal,|Argentina|Capital Federal|,-34.64385,-58.487429000000006,890000.0,USD,890000.0,819.0,10.0,,http://www.properati.com.ar/exv1_venta_casa_capital-federal_moreto_678
58045,2014-04-18,house,Capital Federal,|Argentina|Capital Federal|,-34.646623999999996,-58.487178,225000.0,USD,225000.0,150.0,4.0,,http://www.properati.com.ar/exv2_venta_casa_capital-federal
58046,2014-04-18,apartment,Capital Federal,|Argentina|Capital Federal|,-34.567963,-58.459588000000004,295000.0,USD,295000.0,135.0,3.0,,http://www.properati.com.ar/exv3_venta_departamento_capital-federal
58047,2014-04-18,house,Capital Federal,|Argentina|Capital Federal|,-34.601409000000004,-58.519149,,,,,4.0,,http://www.properati.com.ar/exv6_venta_casa_capital-federal
58048,2014-04-18,house,Avellaneda,|Argentina|Bs.As. G.B.A. Zona Sur|Avellaneda|,-34.70223,-58.31013000000001,225000.0,USD,225000.0,230.0,3.0,,http://www.properati.com.ar/exv7_venta_casa_avellaneda
